initial_alias,converted_alias
NM_148907,236472_at
NM_148907,242994_at
NM_007324,None
NM_001350208,236472_at
NM_001350208,242994_at
NM_148909,236472_at
NM_148909,242994_at
NM_001350209,236472_at
NM_001350209,242994_at
NM_148908,236472_at
NM_148908,242994_at
NM_001350210,236472_at
NM_001350210,242994_at
NM_148906,236472_at
NM_148906,242994_at
NM_015913,223017_at
NM_001193600,None
NM_001193617,None
NM_001330587,None
NM_024646,225338_at
NM_024646,225350_s_at
NM_024646,227918_s_at
NM_153703,226522_at
NM_153703,233148_at
NM_001193599,None
NM_002979,None
NM_001304760,None
NM_001304759,None
NM_017887,None
NM_023077,222883_at
NM_001007098,None
NM_001199081,226522_at
NM_001199081,233148_at
NM_001199080,226522_at
NM_001199080,233148_at
NM_001009955,222482_at
NM_001009955,223635_s_at
NM_147193,244128_x_at
NM_018070,222482_at
NM_018070,223635_s_at
NM_001353655,None
NM_018982,None
NM_001367484,244128_x_at
NM_145716,222482_at
NM_145716,223635_s_at
NM_001291332,None
NM_174936,227759_at
NM_001039464,None
NM_015306,230004_at
NM_017904,235651_at
NM_001114108,235651_at
NM_001004303,231073_at
NM_001004303,238625_at
NM_000562,None
NM_001353986,226020_s_at
NM_001353986,228329_at
NM_001353986,234127_at
NM_001353985,226020_s_at
NM_001353985,228329_at
NM_001353985,234127_at
NM_001365795,None
NM_001365794,None
NM_001365793,226020_s_at
NM_001365793,228329_at
NM_001365793,234127_at
NM_001365792,226020_s_at
NM_001365792,228329_at
NM_001365792,234127_at
NM_001353983,226020_s_at
NM_001353983,228329_at
NM_001353983,234127_at
NM_001350797,232380_at
NM_001350798,232380_at
NM_001244714,232380_at
NM_001350791,232380_at
NM_001350793,232380_at
NM_001350796,232380_at
NM_001350795,232380_at
NM_018291,232380_at
NM_001350792,232380_at
NM_001350799,232380_at
NM_001278224,232380_at
NM_001350790,232380_at
NM_001350794,232380_at
NM_001113411,232380_at
NM_000775,None
NM_152377,236710_at
NM_001145511,224970_at
NM_001145511,224975_at
NM_001145511,224976_at
NM_001145511,226806_s_at
NM_001145511,233004_x_at
NM_005595,224970_at
NM_005595,224975_at
NM_005595,224976_at
NM_005595,226806_s_at
NM_005595,233004_x_at
NM_001145512,224970_at
NM_001145512,224975_at
NM_001145512,224976_at
NM_001145512,226806_s_at
NM_001145512,233004_x_at
NM_001134673,224970_at
NM_001134673,224975_at
NM_001134673,224976_at
NM_001134673,226806_s_at
NM_001134673,233004_x_at
NM_001272001,225384_at
NM_001272001,237470_at
NM_001272001,242611_at
NM_001271999,225384_at
NM_001271999,237470_at
